Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,151.2515,-108.123124,0,bottom
C2,22pF,C_0603_1608Metric,151.2515,-100.757124,180,bottom
C3,1uF,C_0603_1608Metric,145.967153,-97.984277,135,bottom
C4,0.1uF,C_0603_1608Metric,133.013153,-98.081971,225,bottom
C5,0.1uF,C_0603_1608Metric,145.810847,-110.938277,45,bottom
C6,0.1uF,C_0603_1608Metric,133.013153,-110.987124,315,bottom
C7,10uF,C_0603_1608Metric,139.3865,-96.255124,180,bottom
D1,SOD-123,D_SOD-123,43.969982,-61.704422,350,bottom
D2,SOD-123,D_SOD-123,63.557619,-60.322269,350,bottom
D3,SOD-123,D_SOD-123,83.489839,-56.985884,350,bottom
D4,SOD-123,D_SOD-123,101.078889,-66.938283,350,bottom
D5,SOD-123,D_SOD-123,118.736855,-76.499834,350,bottom
D6,SOD-123,D_SOD-123,162.173306,-76.580929,10,bottom
D7,SOD-123,D_SOD-123,179.762358,-66.62853,10,bottom
D8,SOD-123,D_SOD-123,197.454863,-56.760327,10,bottom
D9,SOD-123,D_SOD-123,217.283628,-60.012519,10,bottom
D10,SOD-123,D_SOD-123,236.871263,-61.394671,10,bottom
D11,SOD-123,D_SOD-123,40.661977,-80.465057,350,bottom
D12,SOD-123,D_SOD-123,60.249613,-79.082905,350,bottom
D13,SOD-123,D_SOD-123,80.181833,-75.746518,350,bottom
D14,SOD-123,D_SOD-123,97.770883,-85.698917,350,bottom
D15,SOD-123,D_SOD-123,115.359933,-95.651315,350,bottom
D16,SOD-123,D_SOD-123,165.481313,-95.341563,10,bottom
D17,SOD-123,D_SOD-123,183.070364,-85.389165,10,bottom
D18,SOD-123,D_SOD-123,200.659412,-75.436767,10,bottom
D19,SOD-123,D_SOD-123,220.591634,-78.773153,10,bottom
D20,SOD-123,D_SOD-123,240.17927,-80.155307,10,bottom
D21,SOD-123,D_SOD-123,36.963124,-99.156775,350,bottom
D22,SOD-123,D_SOD-123,56.941607,-97.843539,350,bottom
D23,SOD-123,D_SOD-123,76.873828,-94.507154,350,bottom
D24,SOD-123,D_SOD-123,94.462877,-104.459553,350,bottom
D25,SOD-123,D_SOD-123,112.120843,-114.021103,350,bottom
D28,SOD-123,D_SOD-123,168.789321,-114.102199,10,bottom
D29,SOD-123,D_SOD-123,186.37837,-104.1498,10,bottom
D30,SOD-123,D_SOD-123,203.967418,-94.197403,10,bottom
D31,SOD-123,D_SOD-123,223.899639,-97.533789,10,bottom
D32,SOD-123,D_SOD-123,243.487275,-98.915941,10,bottom
D33,SOD-123,D_SOD-123,34.045964,-117.986327,350,bottom
D34,SOD-123,D_SOD-123,53.6336,-116.604175,350,bottom
D35,SOD-123,D_SOD-123,73.565822,-113.267789,350,bottom
D36,SOD-123,D_SOD-123,91.154871,-123.220187,350,bottom
D37,SOD-123,D_SOD-123,108.812837,-132.781738,350,bottom
D38,SOD-123,D_SOD-123,129.158558,-127.100273,350,bottom
D39,SOD-123,D_SOD-123,151.682689,-126.790522,10,bottom
D40,SOD-123,D_SOD-123,172.097327,-132.862833,10,bottom
D41,SOD-123,D_SOD-123,189.686376,-122.910435,10,bottom
D42,SOD-123,D_SOD-123,207.275426,-112.958038,10,bottom
D43,SOD-123,D_SOD-123,227.207645,-116.294423,10,bottom
D44,SOD-123,D_SOD-123,246.795283,-117.676576,10,bottom
F1,500mA,Fuse_1206_3216Metric,134.332,-83.939124,270,bottom
R1,10k,R_0603_1608Metric,147.237153,-96.714277,135,bottom
R2,5.1k,R_0603_1608Metric,142.714,-83.162432,270,bottom
R3,5.1k,R_0603_1608Metric,136.618,-83.162432,270,bottom
R4,22,R_0603_1608Metric,140.682,-83.162432,90,bottom
R5,22,R_0603_1608Metric,138.65,-83.152624,90,bottom
R6,10k,R_0603_1608Metric,131.743153,-112.208277,315,bottom
SW1,SW_Push,SKQG-1155865,142.46,-90.159124,270,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,139.436693,-104.496232,270,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,139.652503,-71.158648,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,151.25244,-104.397124,90,bottom
